date,city,מחוז,age,דסק,pop,נותרים לחיסון,לא מחוסנים ולא מחלימים,מחלימים,מחלימים שהתחסנו,מחוסנים מלא,מחוסנים מלא שדעך חיסונם,מחוסנים ב3 מנות,בתהליך חיסון,מחוסנים מנה 1 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 1,% מחוסנים מנה 1 מכלל האוכלוסיה,% מחוסנים מנה 1 מהפוטנציאל,מחוסנים מנה 2 מכלל האוכלוסיה,אוכלוסיה פוטנציאלית לחיסון מנה 2,% מחוסנים מנה 2,% מחוסנים מנה 2 ממתחסני מנה 1,מחוסנים מנה 3 ומעלה,אוכלוסיה פוטנציאלית לחיסון מנה 3,% מחוסנים מנה 3 מהפוטנציאל
25/08/2021,ניר עוז,מחוז דרום,16_18,דסק כללי,9,0,0,0,0,4,5,0,0,9,9,100%,100%,9,9,100%,100%,0,0,0%
25/08/2021,ניר עם,מחוז אשקלון,16_18,דסק כללי,15,3,3,0,0,6,6,0,0,12,15,80%,80%,12,12,80%,100%,0,0,0%
25/08/2021,ניר עציון,מחוז חיפה,16_18,דסק כללי,168,143,143,0,1,5,17,0,2,25,168,15%,15%,22,23,13%,96%,0,0,0%
25/08/2021,ניר עקיבא,מחוז דרום,16_18,דסק כללי,39,4,4,4,2,9,18,0,2,31,38,79%,82%,28,29,72%,97%,0,0,0%
25/08/2021,ניר צבי,מחוז מרכז,16_18,דסק כללי,60,4,4,0,3,16,36,0,1,56,59,93%,95%,53,55,88%,96%,0,0,0%
25/08/2021,נירים,מחוז דרום,16_18,דסק כללי,15,0,0,0,0,2,15,0,2,19,15,127%,127%,17,17,113%,100%,0,0,0%
25/08/2021,נירית,מחוז מרכז,16_18,דסק כללי,51,0,0,0,2,13,55,0,0,70,50,137%,140%,68,70,133%,97%,0,0,0%
25/08/2021,נירן,מחוז ירושלים,16_18,דסק כללי,0,0,0,0,0,1,0,0,0,1,0,0%,0%,1,0,0%,0%,0,0,0%
25/08/2021,נס הרים,מחוז ירושלים,16_18,דסק כללי,90,0,0,6,6,16,69,0,3,94,90,104%,104%,85,92,94%,92%,0,0,0%
25/08/2021,נס עמים,מחוז צפון,16_18,דסק כללי,21,1,1,0,0,5,14,0,1,20,21,95%,95%,19,19,90%,100%,0,0,0%
25/08/2021,נס ציונה,מחוז מרכז,16_18,דסק כללי,2471,197,197,93,84,608,1407,5,77,2181,2440,88%,89%,2053,2126,83%,97%,5,0,0%
25/08/2021,נעורים,מחוז מרכז,16_18,דסק כללי,114,87,87,4,1,11,11,0,0,23,114,20%,20%,22,23,19%,96%,0,0,0%
25/08/2021,נעלה,מחוז מרכז,16_18,דסק כללי,122,29,29,3,5,21,60,0,4,90,122,74%,74%,82,85,67%,96%,0,0,0%
25/08/2021,"נעמ""ה",מחוז ירושלים,16_18,דסק כללי,0,0,0,0,0,0,2,0,0,2,0,0%,0%,2,0,0%,0%,0,0,0%
25/08/2021,נען,מחוז מרכז,16_18,דסק כללי,54,0,0,1,0,24,30,0,1,55,54,102%,102%,54,54,100%,100%,0,0,0%
25/08/2021,נצר חזני,מחוז אשקלון,16_18,דסק חרדי,18,0,0,6,0,6,11,0,0,17,18,94%,94%,17,17,94%,100%,0,0,0%
25/08/2021,נצר סרני,מחוז מרכז,16_18,דסק כללי,27,0,0,0,2,7,20,1,1,31,26,115%,119%,30,31,111%,97%,1,0,0%
25/08/2021,נצרת,מחוז צפון,16_18,דסק ערבי,4381,1378,1378,293,182,672,1579,4,273,2710,4350,62%,62%,2296,2552,52%,90%,4,0,0%
25/08/2021,נשר,מחוז חיפה,16_18,דסק כללי,829,162,162,15,20,178,421,3,30,652,821,79%,79%,614,634,74%,97%,3,0,0%
